id,Tube,Üldpind,Seisukord,Ehitusaasta,Tüüp,Korrus,Korruseid,Kuupäev,Maakond
477230,3,50.7,Valmis,1970,Müüa korter,1,3,10.12.12,Võrumaa
947261,2,43,Valmis,1929,Müüa korter,1,2,31.05.15,Harjumaa
349629,3,71,Renoveeritud,1901,Müüa korter,2,4,13.01.12,Harjumaa
186998,4,78,Keskmine,1981,Müüa korter,1,5,03.01.11,Tartumaa
948233,1,33.3,Renoveeritud,1930,Müüa korter,1,2,01.06.15,Tartumaa
984988,1,33,San. remont tehtud,1985,Müüa korter,2,5,10.08.15,Harjumaa
709388,2,35.1,Valmis,2005,Müüa korter,3,3,20.01.14,Pärnumaa
162122,3,50,Valmis,1974,Müüa korter,2,3,09.11.10,Viljandimaa
684240,2,51,Renoveeritud,1959,Anda üürile korter,4,4,28.11.13,Harjumaa
445769,3,74.7,Valmis,1980,Müüa korter,4,5,24.09.12,Harjumaa
375492,3,64.9,Keskmine,1987,Müüa korter,8,9,29.04.12,Harjumaa
217612,2,72.3,Uus,2006,Müüa korter,1,4,17.03.11,Harjumaa
580053,4,85.8,Valmis,1980,Müüa korter,3,4,17.05.13,Raplamaa
636398,3,64.6,Renoveeritud,1981,Müüa korter,6,9,28.08.13,Harjumaa
199664,5,131,Renoveeritud,1938,Anda üürile korter,2,3,11.02.11,Harjumaa
20068,3,69,Keskmine,1986,Müüa korter,3,3,26.11.09,Viljandimaa
967171,1,38.8,Uus,2015,Müüa korter,2,6,07.07.15,Harjumaa
828723,2,40.3,Uus,2007,Müüa korter,4,4,27.10.14,Harjumaa
910230,3,66.7,Renoveeritud,1977,Müüa korter,2,3,31.03.15,Harjumaa
478109,3,67.1,Uus,2012,Müüa korter,5,5,10.12.12,Harjumaa
379768,5,210,Uus,2012,Müüa äripind,2,6,09.05.12,Harjumaa
286643,2,37.9,Uus,1974,Müüa korter,3,5,19.08.11,Pärnumaa
18283,4,155,Renoveeritud,1937,Müüa korter,2,2,20.11.09,Tallinn
829325,2,37,Renoveeritud,1903,Anda üürile korter,1,2,28.10.14,Tartumaa
891959,3,110,Uus,2008,Müüa korter,3,5,01.03.15,Harjumaa
201567,2,49,Uus,2007,Müüa korter,3,4,14.02.11,Viimsi vald
500116,3,65,Renoveeritud,2002,Müüa korter,7,9,08.01.13,Harjumaa
517591,4,97.9,Uus,2013,Müüa korter,2,3,04.02.13,Tartumaa
153666,3,75,Valmis,1978,Müüa korter,3,3,25.10.10,Järvamaa
737323,3,54.8,Renoveeritud,1998,Müüa korter,1,3,26.05.14,Harjumaa
619348,4,91.9,Uus,2004,Müüa korter,5,8,09.01.14,Harjumaa
672291,4,92.8,Uus,2013,Müüa korter,2,2,05.11.13,Tartumaa
584632,2,104.4,Uus,2003,Müüa korter,2,16,24.05.13,Harjumaa
675306,3,50.4,Renoveeritud,1965,Müüa korter,4,5,11.11.13,Tartu
585430,5,131.9,Renoveeritud,1912,Müüa korter,3,4,26.05.13,Harjumaa
709151,1,25.3,Renoveeritud,1930,Müüa korter,-1,3,20.01.14,Harjumaa
351315,2,42.3,Uus,1958,Müüa korter,4,4,17.01.12,Harjumaa
87575,2,43,Renoveeritud,1978,Müüa korter,3,9,25.06.10,Harjumaa
890365,3,71.2,Uus,2014,Müüa korter,2,6,25.02.15,Harjumaa
646535,2,62.9,Renoveeritud,1911,Müüa korter,1,3,17.09.13,Tartumaa
269240,1,81.5,Valmis,2006,Müüa äripind,3,3,09.07.11,Tartumaa
505487,3,93.2,Uus,2012,Müüa korter,3,4,15.01.13,Tallinn
895753,1,18.1,Valmis,1850,Anda üürile äripind,1,4,07.03.15,Tartumaa
210244,2,38,Uus,1965,Müüa korter,3,4,02.03.11,Harjumaa
873277,1,30.4,Renoveeritud,1976,Müüa korter,3,4,25.01.15,Ida-Virumaa
892245,2,52.2,Valmis,1958,Anda üürile korter,1,4,02.03.15,Harjumaa
398903,2,50.6,Renoveeritud,1985,Müüa korter,2,4,12.06.12,Tallinn
338817,5,89.4,Renoveeritud,1986,Müüa korter,5,6,15.12.11,Tallinn
26728,3,60,Uus,2007,Müüa korter,10,30,16.12.09,Harjumaa
169,1,33.6,Renoveeritud,1981,Müüa korter,5,5,24.06.09,Tartumaa
605089,2,72.3,Uus,2004,Müüa korter,2,3,27.06.13,Tallinn
152095,3,64,Renoveeritud,1985,Müüa korter,2,5,21.10.10,Tallinn
676035,3,69.4,Renoveeritud,1992,Müüa korter,3,4,12.11.13,Tartu
532701,2,43.5,Renoveeritud,1990,Anda üürile korter,1,3,28.02.13,Tartu
973099,2,43.3,Renoveeritud,1973,Müüa korter,9,9,19.07.15,Tallinn
439103,2,42.3,Vajab san. remonti,1968,Müüa korter,4,12,11.09.12,Harjumaa
624885,3,105,Uus,2004,Anda üürile korter,5,8,06.08.13,Tartumaa
558456,1,39.6,Uus,2004,Müüa äripind,3,4,12.04.13,Harjumaa
780936,3,57,Renoveeritud,1960,Müüa korter,3,4,02.06.14,Pärnumaa
709136,1,43,Uus,2006,Anda üürile korter,3,3,20.01.14,Tallinn
308459,4,105,Uus,2012,Müüa korter,5,5,11.10.11,Harjumaa
346058,2,50,Uus,2006,Anda üürile korter,2,4,06.01.12,Tartumaa
696262,1,28.3,Renoveeritud,1964,Anda üürile korter,2,4,24.12.13,Harjumaa
39618,1,33,Vajab san. remonti,1988,Müüa korter,3,5,09.03.10,Harjumaa
904830,1,28,Valmis,1993,Müüa korter,3,4,23.03.15,Tartumaa
865240,1,39.8,Renoveeritud,2006,Müüa korter,1,3,10.01.15,Harjumaa
509294,2,37.8,Valmis,1960,Müüa korter,1,4,22.01.13,Pärnumaa
760798,4,73,Renoveeritud,1981,Müüa korter,3,3,26.04.14,Viljandimaa
911453,1,33,Renoveeritud,1981,Müüa korter,5,9,03.04.15,Harjumaa
767776,4,120,Uus,2014,"Müüa äripind, Vahetuse võimalus",1,2,08.05.14,Tallinn
414479,3,50.7,Valmis,1965,Müüa korter,4,4,19.07.12,Harjumaa
305707,4,85.6,Renoveeritud,1910,Müüa korter,1,2,03.10.11,Harjumaa
445658,2,47,Renoveeritud,1980,Müüa korter,2,5,23.09.12,Tartumaa
858177,2,62.8,Uus,2004,Müüa korter,3,3,25.12.14,Harjumaa
894481,2,53,Uus,2006,Anda üürile korter,1,3,04.03.15,Harjumaa
767452,3,60,Renoveeritud,1971,Müüa korter,5,5,08.05.14,Harjumaa
52264,2,24,Uus,1996,"Müüa äripind, Vahetuse võimalus",1,1,11.04.10,Harjumaa
844714,3,75.2,Uus,2015,Müüa korter,4,5,27.11.14,Harjumaa
728587,2,46,Renoveeritud,1985,Müüa korter,2,5,23.02.14,Tartumaa
672380,4,102.7,Valmis,1959,Anda üürile korter,5,5,05.11.13,Harjumaa
489582,3,77.7,Uus,2013,Müüa korter,1,3,16.12.12,Harjumaa
926723,3,64.6,Renoveeritud,1988,Müüa korter,4,9,30.04.15,Harjumaa
705508,3,67.7,Vajab renoveerimist,1985,Müüa korter,2,3,13.01.14,Põlvamaa
851944,2,42,Uus,2006,Anda üürile korter,3,3,11.12.14,Tartumaa
68946,4,92,Uus,2007,Müüa korter,4,5,19.05.10,Pärnumaa
491023,2,49.6,Renoveeritud,1956,Müüa korter,3,3,17.12.12,Ida-Virumaa
250217,4,77.2,Valmis,1991,Müüa korter,2,3,26.05.11,Viljandimaa
925032,1,39.9,Uus,2006,Müüa korter,3,3,27.04.15,Harjumaa
821188,2,68,Renoveeritud,1955,Müüa korter,5,5,13.10.14,Harjumaa
790657,3,108.5,Renoveeritud,1918,Müüa korter,1,3,18.06.14,Tallinn
552921,3,61.8,Valmis,1983,Müüa korter,2,5,03.04.13,Ida-Virumaa
18134,5,270,Uus,1400,Müüa korter,4,4,19.11.09,Harjumaa
377173,3,78,Uus,2007,"Müüa korter, Vahetuse võimalus",7,11,03.05.12,Harjumaa
745531,4,80,Renoveeritud,1988,Müüa korter,4,5,26.03.14,Tartumaa
474933,1,60,Uus,2006,Müüa äripind,1,3,04.12.12,Tartumaa
621471,3,66.4,Renoveeritud,1977,Müüa korter,2,5,30.07.13,Harjumaa
141189,1,19,Renoveeritud,1902,Müüa korter,1,2,05.10.10,Harjumaa
660123,2,51.7,Uus,2007,Anda üürile korter (Broneeritud),1,3,07.01.15,Tallinn
257047,1,32.2,Valmis,1986,Anda üürile korter,5,5,10.06.11,Lääne-Virumaa
405798,3,73,Renoveeritud,1970,Müüa korter,1,6,29.06.12,Harjumaa
781217,1,26,Valmis,1963,Anda üürile korter,2,2,03.06.14,Harjumaa
940049,5,220,Uus,2009,Müüa maja,1,1,19.05.15,Tartumaa
488558,2,43.2,Valmis,1968,Müüa korter,2,2,16.12.12,Pärnumaa
116317,2,49,Renoveeritud,1980,Müüa korter,2,5,25.08.10,Lääne-Virumaa
835487,4,170,Vajab san. remonti,1982,Müüa maja,10,10,10.11.14,Harjumaa
507244,2,52,Uus,2006,Anda üürile korter,8,8,17.01.13,Harjumaa
146838,3,58.1,Uus,2007,Müüa korter,3,3,14.10.10,Tallinn
335470,3,73.5,Uus,2004,Müüa korter,3,4,08.12.11,Harjumaa
191604,3,46,Renoveeritud,1963,Müüa korter,2,4,27.01.11,Harjumaa
484268,3,66,Vajab san. remonti,1983,Müüa korter,1,3,12.12.12,Raplamaa
955437,1,32.6,Renoveeritud,1972,Müüa korter,2,3,13.06.15,Harjumaa
308480,4,71.3,San. remont tehtud,1973,Müüa korter,4,4,11.10.11,Pärnumaa
359689,4,80,Renoveeritud,1982,Müüa korter,1,5,23.03.12,Põlvamaa
687251,3,77,Uus,2005,Müüa korter,2,3,04.12.13,Harjumaa
980110,1,30,Uus,2006,Anda üürile korter,3,3,01.08.15,Tartumaa
155704,2,46,Renoveeritud,1950,Müüa korter,1,3,27.10.10,Harjumaa
347911,2,47.8,Vajab renoveerimist,1983,Müüa korter,2,2,10.01.12,Jõgevamaa
523097,3,61.9,Vajab san. remonti,1987,Müüa korter,1,5,12.02.13,Ida-Virumaa
17307,2,60,Uus,2003,Anda üürile korter,3,5,17.11.09,Tartu
693566,3,76.7,Uus,2014,Müüa korter,2,4,17.12.13,Harjumaa
33170,5,141.1,Vajab renoveerimist,1911,Müüa korter,2,2,18.02.10,Harjumaa
588806,2,51.3,Uus,2007,Müüa korter,1,3,28.05.13,Harjumaa
468281,3,58,Uus,2008,Anda üürile korter,2,7,15.11.12,Tartumaa
541798,1,12.7,Keskmine,1954,Müüa korter,2,4,18.03.14,Harjumaa
860500,3,116.8,Uus,2013,Müüa korter,2,6,01.01.15,Harjumaa
96792,1,33,Keskmine,1974,Müüa korter,4,9,15.07.10,Tallinn
940342,3,67.5,Uus,2014,Müüa korter,2,3,19.05.15,Tartumaa
491242,4,214.4,Valmis,1981,Müüa maja,1,2,18.12.12,Järvamaa
747343,4,70,Vajab san. remonti,1973,"Müüa korter, Vahetuse võimalus",2,2,13.04.15,Lääne-Virumaa
552767,3,52,Uus,2013,Müüa korter,2,3,03.04.13,Tartumaa
384247,2,43.5,Valmis,1973,Müüa korter,4,5,15.05.12,Harjumaa
24535,3,60,Uus,1980,Müüa korter,1,5,09.12.09,Lääne-Virumaa
977700,2,45,Uus,2007,Müüa korter,3,9,27.07.15,Harjumaa
73037,2,33.6,Renoveeritud,1981,Müüa korter,5,5,27.05.10,Tartumaa
799996,2,43.8,Valmis,1971,Anda üürile korter,1,5,07.07.14,Tartumaa
503658,2,40,Renoveeritud,1961,Anda üürile korter,2,5,14.01.13,Harjumaa
791686,3,66,Renoveeritud,1980,Müüa korter,1,5,19.06.14,Harjumaa
463143,1,40,Uus,2013,Müüa korter,3,3,05.11.12,Tartumaa
444446,2,43.8,Keskmine,1962,Anda üürile korter,1,5,19.09.12,Harjumaa
197448,3,68,Keskmine,1979,Müüa korter,1,2,08.02.11,Harjumaa
881815,2,53,Uus,2006,Anda üürile korter,2,6,09.02.15,Harjumaa
917575,3,71,Renoveeritud,1939,Müüa korter,3,3,25.06.15,Harjumaa
947664,1,12,Uus,2007,Anda üürile korter,1,5,01.06.15,Tartumaa
190432,4,80,Renoveeritud,1983,Müüa korter,1,3,25.01.11,Raplamaa
422750,4,63,Valmis,1975,Müüa korter,3,3,08.08.12,Viljandimaa
457911,4,89.1,Valmis,1973,Müüa korter,7,9,22.10.12,Ida-Virumaa
488665,2,40.1,Valmis,1966,Müüa korter,3,5,16.12.12,Harjumaa
586503,1,35.8,Uus,2007,Müüa korter,2,3,27.05.13,Pärnumaa
943823,2,49.7,Valmis,1981,Müüa korter,4,9,25.05.15,Harjumaa
585644,3,79,Uus,2011,Anda üürile korter,1,3,27.05.13,Tartumaa
391024,2,52.2,Uus,2009,Müüa korter,1,3,29.05.12,Harjumaa
431845,4,95.1,Uus,2010,Müüa korter,1,4,28.08.12,Harjumaa
132434,2,56.5,Uus,2003,Müüa korter,2,4,22.09.10,Tallinn
583443,4,89.3,Valmis,1986,Müüa korter (Broneeritud),3,3,23.05.13,Harjumaa
781210,3,66,Renoveeritud,1975,Müüa korter,1,5,02.06.14,Tartumaa
779200,3,60.8,Keskmine,1982,Müüa korter,1,2,29.05.14,Järvakandi vald
750653,2,52.9,Renoveeritud,1973,Müüa korter,5,5,05.04.14,Tallinn
745445,4,78.4,Valmis,1973,Müüa korter,4,5,26.03.14,Ida-Virumaa
862701,2,46.4,Uus,2007,Müüa korter,4,4,06.01.15,Harjumaa
756006,2,52.1,Uus,2004,Müüa korter,1,6,16.04.14,Pärnumaa
641318,2,39.6,San. remont tehtud,1964,Müüa korter,3,5,07.09.13,Ida-Virumaa
86442,3,70,Renoveeritud,1980,Müüa korter,4,5,21.06.10,Harjumaa
372661,1,34,San. remont tehtud,1996,Müüa korter,3,9,23.04.12,Harjumaa
643758,3,56.2,Valmis,1970,Anda üürile korter,4,4,12.09.13,Ida-Virumaa
464710,3,81.8,Renoveeritud,1949,Müüa korter,1,2,07.11.12,Ida-Virumaa
616370,2,50,Uus,2008,Anda üürile korter,3,5,20.07.13,Harjumaa
844233,3,61,Keskmine,1978,Müüa korter,5,5,26.11.14,Harjumaa
917866,2,38.4,Renoveeritud,1985,Anda üürile korter,3,4,14.04.15,Harjumaa
60749,3,57,Renoveeritud,2007,Müüa korter,3,3,03.05.10,Tartumaa
296465,4,78,Renoveeritud,1992,Müüa korter,6,6,07.11.11,Tartumaa
12267,2,43.3,Renoveeritud,1971,Müüa korter,5,9,18.10.09,Tallinn
243725,3,68.3,Uus,2008,Müüa korter,4,7,11.05.11,Pärnumaa
502347,3,88.1,Uus,2005,Müüa korter,2,7,31.10.14,Harjumaa
863396,3,75.3,Uus,2006,Müüa korter,1,4,07.01.15,Harjumaa
956567,2,56.8,Valmis,1974,Müüa korter,5,8,15.06.15,Harjumaa
315118,4,200.8,Valmis,1997,Müüa ridaelamuboks,1,2,25.10.11,Harjumaa
553484,1,36,Uus,2007,Anda üürile korter,2,3,04.04.13,Harjumaa
874606,1,33.6,Vajab renoveerimist,1981,Müüa korter,4,5,27.01.15,Tartumaa
48672,2,40.2,Renoveeritud,1906,Müüa korter,2,2,01.04.10,Tartumaa
741306,2,40.4,San. remont tehtud,1961,Müüa korter,1,5,18.03.14,Harjumaa
918308,1,40,Uus,2006,Müüa korter,3,4,15.04.15,Tallinn
634054,3,64.9,Valmis,1995,Müüa korter,2,4,23.08.13,Viljandimaa
515866,2,55,Uus,2005,Müüa korter,2,5,31.01.13,Harjumaa
486983,3,57.3,Valmis,1974,Müüa korter,2,3,14.12.12,Pärnumaa
642387,2,53.6,Uus,2013,Müüa korter,3,4,09.09.13,Harjumaa
283682,6,147,Valmis,2007,Müüa äripind,1,4,12.08.11,Harjumaa
809484,1,37.5,Uus,2007,Müüa korter,3,3,27.07.14,Tartumaa
377800,4,82,Renoveeritud,1980,Müüa korter,7,9,05.05.12,Harjumaa
945349,2,57,Renoveeritud,1945,Müüa korter,2,2,27.05.15,Tartumaa
772931,1,43,Uus,2014,Müüa korter,1,5,19.05.14,Harjumaa
787611,3,69.6,Vajab renoveerimist,1979,Müüa korter,5,5,13.06.14,Harjumaa
346544,2,56,Uus,2007,Müüa korter,3,4,06.01.12,Tartumaa
105014,2,55.2,Uus,2006,Müüa korter,2,5,02.08.10,Harjumaa
577027,2,39.6,Valmis,1961,Müüa korter,2,4,13.05.13,Ida-Virumaa
485196,3,62,Renoveeritud,1972,Müüa korter,6,9,13.12.12,Harjumaa
949065,14,440,Uus,2016,Anda üürile äripind,8,13,03.06.15,Tallinn
229669,1,19,Renoveeritud,1920,Müüa korter,1,2,12.04.11,Harjumaa
585516,4,72,Renoveeritud,1987,Müüa korter,2,3,26.05.13,Raplamaa
913340,3,72.8,Renoveeritud,1956,Anda üürile korter,4,4,07.04.15,Tartumaa
793811,3,104,Valmis,2006,Müüa korter,2,7,26.06.14,Harjumaa
730740,1,21.1,Keskmine,1901,Müüa korter,1,2,27.02.14,Tartu
573283,4,75.8,Uus,1968,Müüa korter,4,5,07.05.13,Tartumaa
760673,3,74.5,Uus,2004,Anda üürile korter,3,3,25.04.14,Harjumaa
97492,3,69,Vajab san. remonti,1986,Müüa korter,2,3,18.07.10,Järvamaa
378402,5,201.1,Renoveeritud,2003,Müüa maja,2,2,07.05.12,Harjumaa
28820,1,33,San. remont tehtud,1985,Anda üürile korter,1,9,07.02.10,Harjumaa
342678,3,80,Renoveeritud,1991,Anda üürile korter,2,5,27.12.11,Harjumaa
909731,3,63.2,Uus,2007,Müüa korter,4,5,01.04.15,Tallinn
753820,1,38.2,Keskmine,1988,Anda üürile korter,3,5,11.04.14,Ida-Virumaa
749272,3,77.6,Uus,2004,Müüa korter,2,9,02.04.14,Harjumaa
280097,3,75,Uus,2006,Müüa korter,2,5,04.08.11,Harjumaa
780469,3,68.3,Uus,2006,Müüa korter,13,30,01.06.14,Harjumaa
605005,3,92,Uus,2006,Müüa korter,6,7,27.06.13,Tallinn
397870,3,70,Renoveeritud,1975,Müüa korter,8,9,11.06.12,Harjumaa
433062,4,109.7,Uus,2010,Müüa korter,1,4,30.08.12,Harjumaa
68948,3,63,Renoveeritud,1930,Müüa korter,2,2,19.05.10,Pärnumaa
773427,1,30,Renoveeritud,1906,Anda üürile korter,2,3,19.05.14,Tartumaa
468287,3,70,Renoveeritud,1959,Müüa korter,2,3,15.11.12,Harjumaa
448790,4,60,San. remont tehtud,1982,Müüa korter,2,5,01.10.12,Harjumaa
815366,1,33.3,Valmis,1896,Müüa korter,1,2,07.08.14,Tartumaa
551251,2,50.6,Renoveeritud,1969,Müüa korter,1,2,01.04.13,Harjumaa
725779,6,277.1,Valmis,1980,Anda üürile maja,1,1,18.02.14,Harjumaa
44481,2,47,Vajab renoveerimist,1968,Müüa korter,5,5,22.03.10,Harjumaa
834858,4,76.2,Valmis,1989,Müüa korter,3,3,08.11.14,Pärnumaa
352854,4,82,Renoveeritud,1986,"Müüa korter, Vahetuse võimalus",2,9,19.01.12,Harjumaa
720508,2,47.3,Valmis,1980,Müüa korter,1,5,08.02.14,Ida-Virumaa
707168,3,73.2,Renoveeritud,2007,Müüa korter,3,4,04.03.14,Harjumaa
477245,3,50.7,Valmis,1970,Müüa korter,1,3,10.12.12,Võrumaa
875429,3,61.5,Keskmine,1978,Müüa korter,4,5,28.01.15,Lääne-Virumaa
830982,3,68.1,Uus,2006,Müüa korter,1,3,31.10.14,Harjumaa
839589,3,65,Renoveeritud,1997,Anda üürile korter,5,6,17.11.14,Tallinn
546588,4,85.5,Renoveeritud,1901,Müüa korter,1,2,25.03.13,Tartumaa
126494,3,77,Uus,2004,Müüa korter,4,8,11.09.10,Harjumaa
40549,3,110,Uus,2002,Müüa korter,2,3,11.03.10,Harjumaa
278706,2,51.6,Uus,2012,Müüa korter,1,3,01.08.11,Harjumaa
216411,6,200,Renoveeritud,1995,Anda üürile korter,4,4,15.03.11,Harjumaa
216431,3,86,Renoveeritud,1986,Müüa korter,14,14,15.03.11,Harjumaa
887851,1,45.4,Renoveeritud,1781,Anda üürile korter,2,3,20.02.15,Tartumaa
555124,2,87.2,Valmis,2003,Müüa korter,4,16,07.04.13,Harjumaa
967965,3,65.3,Renoveeritud,1979,Müüa korter,7,9,08.07.15,Harjumaa
294000,3,65,Uus,2007,Müüa korter,1,2,06.09.11,Harjumaa
630925,3,56.3,Renoveeritud,1980,"Müüa korter, Vahetuse võimalus",2,3,19.01.14,Jõgevamaa
984472,3,81.2,Uus,2005,Müüa korter,1,6,10.08.15,Harjumaa
107898,3,61,Vajab renoveerimist,1972,Müüa korter,1,5,10.08.10,Viljandimaa
461176,2,51,Renoveeritud,1988,Müüa korter,9,9,30.10.12,Harjumaa
330470,3,98,Keskmine,1960,Müüa maja,1,1,27.11.11,Põlvamaa
275458,2,44,Valmis,1972,Müüa korter,5,5,23.07.11,Viljandimaa
621981,1,35.9,Vajab renoveerimist,1987,Müüa korter,3,9,31.07.13,Ida-Virumaa
858959,2,39,Vajab san. remonti,1960,Müüa korter,3,4,29.12.14,Ida-Virumaa
334727,2,40,Vajab renoveerimist,1970,Müüa korter,4,4,07.12.11,Lääne-Virumaa
13240,3,67,Renoveeritud,1983,Anda üürile korter (Broneeritud),5,9,21.10.09,Tallinn
595560,2,44.8,Valmis,1970,Müüa korter,3,5,29.05.13,Harjumaa
794176,2,52.2,Valmis,1957,Müüa korter,3,3,26.06.14,Harjumaa
540047,2,48,Valmis,1985,Müüa korter,1,5,13.03.13,Ida-Virumaa
890842,4,112.2,Uus,1999,Müüa korter,2,4,26.02.15,Tallinn
631918,3,86.4,Uus,2014,Müüa korter,2,5,19.08.13,Harjumaa
478988,3,61.6,Renoveeritud,1977,Müüa korter,2,5,11.12.12,Ida-Virumaa
530406,2,37,Valmis,1948,Müüa korter,3,3,24.02.13,Ida-Virumaa
432774,4,95,Renoveeritud,1987,Müüa korter,2,3,02.01.13,Harjumaa
497803,4,78,Renoveeritud,1987,Müüa korter,3,3,04.01.13,Harjumaa
757510,4,89.4,Uus,2006,Müüa korter (Broneeritud),13,15,17.07.14,Harjumaa
412170,2,62,Uus,2006,Müüa korter,2,3,15.07.12,Tartumaa
801718,2,68.3,Uus,2010,Müüa korter,5,6,10.07.14,Harjumaa
9022,2,57.7,Renoveeritud,1957,Anda üürile korter,3,4,23.09.09,Tallinn
234723,2,54.2,Uus,2003,Müüa korter,3,6,24.04.11,Harjumaa
813648,2,56,Uus,2008,Müüa korter,1,3,25.08.14,Harjumaa
593310,5,90.8,Renoveeritud,1983,Müüa korter,2,3,28.05.13,Saaremaa
64323,5,161,Uus,1947,Müüa korter,2,4,11.05.10,Harjumaa
561360,3,57,Valmis,1968,Müüa korter,4,5,17.04.13,Pärnumaa
280169,5,147,Uus,2009,Müüa maja,2,2,04.08.11,Tartumaa
532094,2,62.9,Renoveeritud,1911,Müüa korter,1,3,27.02.13,Tartumaa
500913,2,36.3,Valmis,1964,Müüa korter,1,3,09.01.13,Ida-Virumaa
565701,3,62.4,Uus,2007,Müüa korter,4,4,24.04.13,Lääne-Virumaa
865510,1,24.7,Uus,2015,Müüa korter,3,3,11.01.15,Tartumaa
860412,3,100,Uus,1956,Müüa korter,5,5,01.01.15,Tallinn
975910,2,52.6,Keskmine,1974,Anda üürile korter,3,5,24.07.15,Harjumaa
529941,3,81,Uus,2013,Müüa korter,4,6,23.02.13,Harjumaa
114583,3,65,Renoveeritud,1988,Müüa korter,6,9,22.08.10,Tallinn
43443,2,44,Uus,2005,Müüa korter,2,2,19.03.10,Tartu
959230,3,68.5,Uus,2010,Anda üürile korter,4,6,20.06.15,Harjumaa
759160,3,66,Renoveeritud,1975,Müüa korter,1,5,23.04.14,Tartumaa
621737,4,92.3,Renoveeritud,1950,Anda üürile korter,4,4,30.07.13,Tartumaa
244564,1,33.2,Renoveeritud,1998,Müüa korter,1,4,13.05.11,Tartumaa
845922,1,27,Renoveeritud,1988,Müüa korter,7,9,30.11.14,Tartumaa
910561,3,60.8,Renoveeritud,1969,Müüa korter,3,5,01.04.15,Harjumaa
398542,2,48.5,Renoveeritud,1978,Müüa korter,1,3,12.06.12,Võrumaa
923255,3,75.1,Uus,2014,Müüa korter,2,5,24.04.15,Harjumaa
340750,3,64,Uus,2002,Müüa korter,1,3,20.12.11,Harjumaa
629264,2,1980,Vajab renoveerimist,1963,Müüa korter,4,4,14.08.13,Ida-Virumaa
299318,1,31.3,Vajab renoveerimist,1970,Müüa korter,1,2,19.09.11,Võrumaa
624620,4,60.2,Keskmine,1967,Anda üürile korter,5,5,05.08.13,Harjumaa
673013,1,27.1,Renoveeritud,1960,Müüa korter,4,4,06.11.13,Harjumaa
311087,2,62.7,Uus,2005,Anda üürile korter,3,5,16.10.11,Tallinn
98828,1,33,Renoveeritud,1990,Müüa korter,2,5,20.07.10,Harku vald
45179,2,52,Uus,2004,Anda üürile korter,1,2,24.03.10,Harjumaa
